step,num_agents,num_predators,num_prey,predators,prey,rewards,cumulative_rewards,terminations,death_causes,predators_ate
1,56,24,32,[],[],{},{},{},{},[]
2,55,24,31,['type_1_predator_19'],[],{},{},{},{},[]
3,57,24,33,['type_1_predator_0'],[],{},{},{},{},[]
4,61,24,37,['type_1_predator_15', 'type_1_predator_21'],[],{},{},{},{},[]
5,62,24,38,['type_1_predator_12', 'type_1_predator_13'],[],{},{},{},{},[]
6,63,24,39,['type_1_predator_7'],[],{},{},{},{},[]
7,62,26,36,['type_1_predator_14', 'type_1_predator_20', 'type_1_predator_21', 'type_1_predator_7'],[],{},{},{},{},[]
8,63,26,37,[],[],{},{},{},{},[]
9,62,27,35,['type_1_predator_21', 'type_1_predator_4'],[],{},{},{},{},[]
10,63,27,36,['type_1_predator_11', 'type_1_predator_18'],[],{},{},{},{},[]
11,62,28,34,['type_1_predator_15', 'type_1_predator_23', 'type_1_predator_4'],[],{},{},{},{},[]
12,61,29,32,['type_1_predator_19', 'type_1_predator_4'],[],{},{},{},{},[]
13,62,29,33,[],[],{},{},{},{},[]
14,60,29,31,['type_1_predator_10', 'type_1_predator_22'],[],{},{},{},{},[]
15,59,29,30,['type_1_predator_16'],[],{},{},{},{},[]
16,59,29,30,['type_1_predator_8'],[],{},{},{},{},[]
17,58,30,28,['type_1_predator_10', 'type_1_predator_23'],[],{},{},{},{},[]
18,58,31,27,['type_1_predator_11', 'type_1_predator_4'],[],{},{},{},{},[]
19,58,31,27,[],[],{},{},{},{},[]
20,58,31,27,[],[],{},{},{},{},[]
21,58,33,25,['type_1_predator_13', 'type_1_predator_22'],[],{},{},{},{},[]
22,56,34,22,['type_1_predator_10', 'type_1_predator_30', 'type_1_predator_32', 'type_1_predator_6'],[],{},{},{},{},[]
23,53,35,18,['type_1_predator_15', 'type_1_predator_23', 'type_1_predator_29', 'type_1_predator_31'],[],{},{},{},{},[]
24,52,35,17,['type_1_predator_9'],[],{},{},{},{},[]
25,52,35,17,[],[],{},{},{},{},[]
