number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,params_learning_rate,state
0,0.0,2024-07-11 19:02:57.406625,2024-07-11 20:37:18.410029,0 days 01:34:21.003404,0.17025777011029336,0.019384364518727246,0.9805057186886136,0.053848318780475954,COMPLETE
1,21.0,2024-07-11 20:37:18.410409,2024-07-11 21:56:17.709603,0 days 01:18:59.299194,0.15584680342852422,0.0066599768135021135,0.9628864345897367,0.002998105525633952,COMPLETE
2,13.0,2024-07-11 21:56:17.709986,2024-07-11 23:13:43.137016,0 days 01:17:25.427030,0.18626506844162122,0.00047236254116017764,0.8665908875640862,1.1731030300842878e-05,COMPLETE
3,0.0,2024-07-11 23:13:43.137406,2024-07-12 00:59:40.851795,0 days 01:45:57.714389,0.16755839389061217,0.03195816796443773,0.9727818622189313,0.155950163212917,COMPLETE
4,3.0,2024-07-12 00:59:40.852175,2024-07-12 02:42:38.149835,0 days 01:42:57.297660,0.17634672138529348,3.481415559782639e-07,0.903305570559166,0.7390769408507893,COMPLETE
5,182.0,2024-07-12 02:42:38.150234,2024-07-12 04:05:20.326522,0 days 01:22:42.176288,0.15190720091126245,4.678572716298526e-08,0.9176488319226951,0.0016852547767084941,COMPLETE
6,38.0,2024-07-12 04:05:20.326892,2024-07-12 05:21:37.708884,0 days 01:16:17.381992,0.15539132158904712,0.0008855606184205487,0.9305183710486102,8.553202880562914e-05,COMPLETE
7,0.0,2024-07-12 05:21:37.709303,2024-07-12 07:00:38.220463,0 days 01:39:00.511160,0.15898201482799093,1.4389014552098422e-05,0.8255950007566346,0.07832189296924359,COMPLETE
8,0.0,2024-07-12 07:00:38.220826,2024-07-12 08:42:10.114459,0 days 01:41:31.893633,0.15334069021233315,0.017516029361202237,0.9880109325661827,0.15078859172003067,COMPLETE
9,223.0,2024-07-12 08:42:10.114810,2024-07-12 10:18:35.427045,0 days 01:36:25.312235,0.18289471458794904,1.987380006067138e-06,0.8805114374904035,0.0010506137620811193,COMPLETE
