Step,Speed_1_Predator,Speed_2_Predator,Speed_1_Prey,Speed_2_Prey,Predator_Prop_Speed2,Prey_Prop_Speed2Avg_Age_S1_Predator,Avg_Age_S2_Predator,Avg_Age_S1_Prey,Avg_Age_S2_Prey
0,5,5,7,7,0.5,0.5,1.0,1.0,1.0,1.0
1,5,5,7,7,0.5,0.5,2.0,2.0,2.0,2.0
2,5,5,7,7,0.5,0.5,3.0,3.0,3.0,3.0
3,5,5,9,8,0.5,0.47058823529411764,4.0,4.0,3.111111111111111,3.5
4,5,5,10,9,0.5,0.47368421052631576,5.0,5.0,3.7,4.0
5,5,5,11,12,0.5,0.5217391304347826,6.0,6.0,4.2727272727272725,3.75
6,5,5,11,13,0.5,0.5416666666666666,7.0,7.0,5.2727272727272725,4.384615384615385
7,5,5,11,12,0.5,0.5217391304347826,8.0,8.0,5.545454545454546,5.166666666666667
8,5,5,11,13,0.5,0.5416666666666666,9.0,9.0,6.545454545454546,5.6923076923076925
9,5,5,13,14,0.5,0.5185185185185185,10.0,10.0,6.384615384615385,6.214285714285714
10,5,5,13,14,0.5,0.5185185185185185,11.0,11.0,7.384615384615385,7.214285714285714
11,5,5,12,14,0.5,0.5384615384615384,12.0,12.0,8.083333333333334,8.214285714285714
12,6,5,13,15,0.45454545454545453,0.5357142857142857,10.833333333333334,13.0,8.384615384615385,8.066666666666666
13,6,5,13,20,0.45454545454545453,0.6060606060606061,11.833333333333334,14.0,9.384615384615385,6.8
14,6,5,15,20,0.45454545454545453,0.5714285714285714,12.833333333333334,15.0,9.0,7.8
15,6,5,16,20,0.45454545454545453,0.5555555555555556,13.833333333333334,16.0,9.375,8.8
16,6,5,16,20,0.45454545454545453,0.5555555555555556,14.833333333333334,17.0,10.375,9.8
17,6,6,15,20,0.5,0.5714285714285714,15.833333333333334,15.0,10.933333333333334,10.8
18,6,6,15,20,0.5,0.5714285714285714,16.833333333333332,16.0,11.933333333333334,11.8
19,6,6,15,21,0.5,0.5833333333333334,17.833333333333332,17.0,12.933333333333334,12.19047619047619
20,6,6,15,21,0.5,0.5833333333333334,18.833333333333332,18.0,13.933333333333334,13.19047619047619
21,6,7,15,21,0.5384615384615384,0.5833333333333334,19.833333333333332,16.285714285714285,14.933333333333334,14.095238095238095
22,6,7,15,22,0.5384615384615384,0.5945945945945946,20.833333333333332,17.285714285714285,15.933333333333334,14.409090909090908
23,6,7,15,21,0.5384615384615384,0.5833333333333334,21.833333333333332,18.285714285714285,16.933333333333334,15.285714285714286
24,6,7,15,22,0.5384615384615384,0.5945945945945946,22.833333333333332,19.285714285714285,17.933333333333334,15.545454545454545
25,7,7,15,21,0.5,0.5833333333333334,20.428571428571427,20.285714285714285,18.933333333333334,16.095238095238095
26,7,7,15,22,0.5,0.5945945945945946,21.428571428571427,21.285714285714285,19.933333333333334,16.318181818181817
27,7,7,15,22,0.5,0.5945945945945946,22.428571428571427,22.285714285714285,20.933333333333334,17.318181818181817
28,7,7,15,22,0.5,0.5945945945945946,23.428571428571427,23.285714285714285,21.933333333333334,18.318181818181817
29,7,7,15,22,0.5,0.5945945945945946,24.428571428571427,24.285714285714285,22.933333333333334,19.318181818181817
30,8,7,14,20,0.4666666666666667,0.5882352941176471,22.25,25.285714285714285,24.142857142857142,19.7
31,8,7,14,20,0.4666666666666667,0.5882352941176471,23.25,26.285714285714285,25.142857142857142,20.7
32,8,7,14,20,0.4666666666666667,0.5882352941176471,24.25,27.285714285714285,26.142857142857142,20.7
33,5,4,15,20,0.4444444444444444,0.5714285714285714,20.0,24.0,25.333333333333332,21.7
34,5,4,15,20,0.4444444444444444,0.5714285714285714,21.0,25.0,26.333333333333332,22.7
35,5,4,15,20,0.4444444444444444,0.5714285714285714,22.0,26.0,27.333333333333332,23.7
36,5,4,16,20,0.4444444444444444,0.5555555555555556,23.0,27.0,26.5625,24.7
37,6,4,15,20,0.4,0.5714285714285714,20.0,28.0,26.866666666666667,25.7
38,6,4,16,20,0.4,0.5555555555555556,21.0,29.0,26.125,26.7
39,6,5,17,20,0.45454545454545453,0.5405405405405406,22.0,24.0,25.529411764705884,26.0
40,6,5,17,20,0.45454545454545453,0.5405405405405406,23.0,25.0,26.529411764705884,27.0
41,6,5,16,20,0.45454545454545453,0.5555555555555556,24.0,26.0,27.25,28.0
42,6,5,16,20,0.45454545454545453,0.5555555555555556,25.0,27.0,28.25,29.0
43,6,5,16,21,0.45454545454545453,0.5675675675675675,26.0,28.0,29.25,28.571428571428573
44,6,5,16,21,0.45454545454545453,0.5675675675675675,27.0,29.0,30.25,29.571428571428573
45,6,5,16,22,0.45454545454545453,0.5789473684210527,28.0,30.0,31.25,29.181818181818183
46,5,5,16,25,0.5,0.6097560975609756,28.0,31.0,32.25,26.56
47,5,5,16,25,0.5,0.6097560975609756,29.0,32.0,33.25,27.56
48,5,5,16,24,0.5,0.6,30.0,33.0,34.25,28.0
49,6,5,16,23,0.45454545454545453,0.5897435897435898,25.833333333333332,34.0,32.125,28.695652173913043
50,6,5,16,23,0.45454545454545453,0.5897435897435898,26.833333333333332,35.0,33.125,29.695652173913043
51,7,5,15,24,0.4166666666666667,0.6153846153846154,23.857142857142858,36.0,33.2,29.416666666666668
52,7,5,15,24,0.4166666666666667,0.6153846153846154,24.857142857142858,37.0,34.2,30.375
53,7,5,15,22,0.4166666666666667,0.5945945945945946,25.857142857142858,38.0,35.2,32.45454545454545
54,7,5,15,22,0.4166666666666667,0.5945945945945946,26.857142857142858,39.0,33.6,33.45454545454545
55,7,6,13,23,0.46153846153846156,0.6388888888888888,27.857142857142858,33.333333333333336,32.30769230769231,32.95652173913044
56,7,6,13,23,0.46153846153846156,0.6388888888888888,28.857142857142858,34.333333333333336,33.30769230769231,33.95652173913044
57,7,6,13,22,0.46153846153846156,0.6285714285714286,29.857142857142858,35.333333333333336,34.30769230769231,34.95454545454545
58,7,6,13,22,0.46153846153846156,0.6285714285714286,30.857142857142858,36.333333333333336,35.30769230769231,35.95454545454545
59,7,6,13,22,0.46153846153846156,0.6285714285714286,31.857142857142858,37.333333333333336,36.30769230769231,36.95454545454545
60,7,6,13,21,0.46153846153846156,0.6176470588235294,32.857142857142854,38.333333333333336,37.30769230769231,39.523809523809526
61,7,6,13,21,0.46153846153846156,0.6176470588235294,33.857142857142854,39.333333333333336,38.30769230769231,40.523809523809526
62,7,6,12,22,0.46153846153846156,0.6470588235294118,34.857142857142854,40.333333333333336,40.666666666666664,39.63636363636363
63,7,7,12,21,0.5,0.6363636363636364,35.857142857142854,35.42857142857143,41.666666666666664,40.0
64,7,7,12,21,0.5,0.6363636363636364,36.857142857142854,36.42857142857143,42.666666666666664,41.0
65,8,7,12,20,0.4666666666666667,0.625,33.125,37.42857142857143,43.666666666666664,42.45
66,8,7,12,20,0.4666666666666667,0.625,34.125,38.42857142857143,44.666666666666664,43.45
67,8,8,12,19,0.5,0.6129032258064516,35.125,34.5,45.666666666666664,44.63157894736842
68,8,8,11,18,0.5,0.6206896551724138,36.125,35.5,48.18181818181818,46.55555555555556
69,8,8,12,19,0.5,0.6129032258064516,37.125,36.5,45.083333333333336,45.05263157894737
70,8,8,12,19,0.5,0.6129032258064516,38.125,37.5,46.083333333333336,46.05263157894737
71,8,9,11,18,0.5294117647058824,0.6206896551724138,39.125,34.22222222222222,45.18181818181818,47.05555555555556
72,8,9,11,19,0.5294117647058824,0.6333333333333333,40.125,35.22222222222222,39.54545454545455,45.526315789473685
73,8,9,12,20,0.5294117647058824,0.625,41.125,36.22222222222222,37.166666666666664,44.2
74,9,9,12,19,0.5,0.6129032258064516,37.44444444444444,37.22222222222222,38.166666666666664,44.31578947368421
75,9,9,12,19,0.5,0.6129032258064516,38.44444444444444,38.22222222222222,39.166666666666664,45.31578947368421
76,9,9,12,19,0.5,0.6129032258064516,39.44444444444444,39.22222222222222,40.166666666666664,46.31578947368421
77,9,9,13,18,0.5,0.5806451612903226,40.44444444444444,40.22222222222222,38.0,46.388888888888886
78,9,9,13,18,0.5,0.5806451612903226,41.44444444444444,41.22222222222222,39.0,47.388888888888886
79,10,10,12,17,0.5,0.5862068965517241,38.2,38.0,37.333333333333336,47.35294117647059
80,10,11,12,17,0.5238095238095238,0.5862068965517241,39.2,35.45454545454545,38.333333333333336,43.94117647058823
81,10,11,12,15,0.5238095238095238,0.5555555555555556,40.2,36.45454545454545,39.333333333333336,46.666666666666664
82,11,11,9,15,0.5,0.625,37.45454545454545,37.45454545454545,38.55555555555556,47.666666666666664
83,11,11,9,15,0.5,0.625,38.45454545454545,38.45454545454545,39.55555555555556,48.666666666666664
84,12,12,8,14,0.5,0.6363636363636364,36.166666666666664,36.166666666666664,35.75,48.142857142857146
85,12,12,8,14,0.5,0.6363636363636364,37.166666666666664,37.166666666666664,36.75,49.142857142857146
86,12,11,8,15,0.4782608695652174,0.6521739130434783,38.166666666666664,35.36363636363637,37.75,46.8
87,12,11,8,16,0.4782608695652174,0.6666666666666666,39.166666666666664,36.36363636363637,38.75,44.8125
88,12,11,7,15,0.4782608695652174,0.6818181818181818,40.166666666666664,37.36363636363637,43.285714285714285,47.6
89,12,12,5,15,0.5,0.75,41.166666666666664,35.166666666666664,52.6,48.6
90,12,12,4,16,0.5,0.8,42.166666666666664,36.166666666666664,48.0,46.5
91,12,12,4,16,0.5,0.8,43.166666666666664,37.166666666666664,49.0,47.5
92,11,12,4,16,0.5217391304347826,0.8,39.72727272727273,38.166666666666664,50.0,48.5
93,11,12,4,16,0.5217391304347826,0.8,40.72727272727273,39.166666666666664,51.0,43.875
94,11,12,3,15,0.5217391304347826,0.8333333333333334,41.72727272727273,40.166666666666664,49.0,46.46666666666667
95,11,12,3,15,0.5217391304347826,0.8333333333333334,42.72727272727273,41.166666666666664,50.0,45.266666666666666
96,11,12,3,15,0.5217391304347826,0.8333333333333334,43.72727272727273,42.166666666666664,51.0,46.266666666666666
97,11,12,3,15,0.5217391304347826,0.8333333333333334,44.72727272727273,43.166666666666664,52.0,47.266666666666666
98,11,12,3,15,0.5217391304347826,0.8333333333333334,45.72727272727273,44.166666666666664,53.0,48.266666666666666
99,10,12,3,15,0.5454545454545454,0.8333333333333334,48.0,45.166666666666664,54.0,49.266666666666666
100,10,12,4,15,0.5454545454545454,0.7894736842105263,49.0,46.166666666666664,41.25,50.266666666666666
101,10,12,4,15,0.5454545454545454,0.7894736842105263,50.0,47.166666666666664,42.25,51.266666666666666
102,10,12,4,16,0.5454545454545454,0.8,51.0,48.166666666666664,43.25,49.0
103,10,12,4,17,0.5454545454545454,0.8095238095238095,52.0,49.166666666666664,44.25,47.05882352941177
104,9,12,4,18,0.5714285714285714,0.8181818181818182,53.0,50.166666666666664,45.25,45.388888888888886
105,9,12,5,18,0.5714285714285714,0.782608695652174,54.0,51.166666666666664,37.0,46.388888888888886
106,9,12,5,18,0.5714285714285714,0.782608695652174,55.0,52.166666666666664,38.0,47.388888888888886
107,10,12,5,16,0.5454545454545454,0.7619047619047619,50.4,53.166666666666664,39.0,47.4375
108,10,12,5,16,0.5454545454545454,0.7619047619047619,51.4,54.166666666666664,40.0,48.4375
109,11,12,5,15,0.5217391304347826,0.75,47.63636363636363,55.166666666666664,41.0,45.4
110,11,12,5,15,0.5217391304347826,0.75,48.63636363636363,56.166666666666664,42.0,46.4
111,11,12,5,16,0.5217391304347826,0.7619047619047619,49.63636363636363,57.166666666666664,43.0,44.4375
112,11,12,5,16,0.5217391304347826,0.7619047619047619,50.63636363636363,58.166666666666664,44.0,45.4375
113,11,13,5,13,0.5416666666666666,0.7222222222222222,51.63636363636363,54.61538461538461,45.0,46.46153846153846
114,11,12,6,13,0.5217391304347826,0.6842105263157895,52.63636363636363,57.416666666666664,38.333333333333336,47.46153846153846
115,11,12,5,13,0.5217391304347826,0.7222222222222222,53.63636363636363,58.416666666666664,34.0,48.46153846153846
116,11,12,5,12,0.5217391304347826,0.7058823529411765,54.63636363636363,59.416666666666664,35.0,52.416666666666664
117,11,12,5,13,0.5217391304347826,0.7222222222222222,55.63636363636363,60.416666666666664,36.0,49.30769230769231
118,11,11,4,12,0.5,0.75,53.54545454545455,63.90909090909091,20.25,53.333333333333336
119,11,11,5,13,0.5,0.7222222222222222,54.54545454545455,64.9090909090909,17.0,50.15384615384615
120,11,11,5,14,0.5,0.7368421052631579,55.54545454545455,65.9090909090909,18.0,47.5
121,11,11,6,13,0.5,0.6842105263157895,56.54545454545455,66.9090909090909,15.833333333333334,46.23076923076923
122,11,12,5,13,0.5217391304347826,0.7222222222222222,57.54545454545455,62.25,16.8,47.23076923076923
123,11,12,5,13,0.5217391304347826,0.7222222222222222,58.54545454545455,63.25,17.8,45.61538461538461
124,11,12,5,12,0.5217391304347826,0.7058823529411765,59.54545454545455,64.25,18.8,50.166666666666664
125,11,12,5,13,0.5217391304347826,0.7222222222222222,60.54545454545455,65.25,19.8,47.23076923076923
126,11,12,6,13,0.5217391304347826,0.6842105263157895,61.54545454545455,66.25,17.333333333333332,48.23076923076923
127,11,12,7,13,0.5217391304347826,0.65,62.54545454545455,67.25,15.714285714285714,49.23076923076923
