t,consumer_id,energy_before,energy_after,position_consumer,resource_id,energy_resource,position_resource,bite_size,team_capture,predator_list
5,type_1_predator_0,3.799999999999999,6.749999999999999,"23,4",type_1_prey_21,2.95,"23,3",2.95,False,type_1_predator_0
10,type_1_predator_0,5.749999999999998,10.639999999999999,"22,2",type_1_prey_28,4.890000000000001,"22,1",4.890000000000001,False,type_1_predator_0
14,type_1_predator_0,9.840000000000003,12.810000000000006,"24,3",type_1_prey_9,2.9700000000000033,"24,4",2.9700000000000033,False,type_1_predator_0
18,type_1_predator_0,7.010000000000004,11.340000000000007,"21,7",type_1_prey_18,4.330000000000003,"20,6",4.330000000000003,False,type_1_predator_0
21,type_1_predator_0,10.740000000000009,13.830000000000013,"19,8",type_1_prey_25,3.090000000000003,"18,8",3.090000000000003,False,type_1_predator_0
32,type_1_predator_0,6.630000000000014,12.32000000000002,"22,8",type_1_prey_13,5.690000000000006,"21,7",5.690000000000006,False,type_1_predator_0
48,type_1_predator_0,4.120000000000017,6.4096621621621885,"22,7",type_1_prey_32,3.290000000000008,"21,6",2.2896621621621716,True,type_1_predator_0|type_1_predator_24
51,type_1_predator_0,5.809662162162187,11.249662162162188,"19,8",type_1_prey_57,5.440000000000001,"18,8",5.440000000000001,False,type_1_predator_0
56,type_1_predator_0,10.249662162162192,12.800888115189457,"21,9",type_1_prey_60,2.8500000000000005,"22,9",2.551225953027265,True,type_1_predator_0|type_1_predator_24
69,type_1_predator_0,5.200888115189455,8.850888115189456,"21,7",type_1_prey_63,3.650000000000001,"21,7",3.650000000000001,False,type_1_predator_0
72,type_1_predator_0,8.250888115189458,11.200888115189457,"23,4",type_1_prey_66,2.95,"23,3",2.95,False,type_1_predator_0
74,type_1_predator_0,10.800888115189458,15.914181055289937,"21,6",type_1_prey_59,5.350000000000006,"21,7",5.11329294010048,True,type_1_predator_0|type_1_predator_12
89,type_1_predator_0,7.914181055289946,10.814181055289946,"19,10",type_1_prey_82,2.9000000000000004,"18,9",2.9000000000000004,False,type_1_predator_0
90,type_1_predator_0,10.614181055289947,14.344181055289951,"19,9",type_1_prey_68,3.730000000000004,"18,8",3.730000000000004,False,type_1_predator_0
97,type_1_predator_0,7.944181055289954,9.726501415188729,"21,2",type_1_prey_84,2.5900000000000016,"20,1",1.7823203598987738,True,type_1_predator_0|type_1_predator_33
103,type_1_predator_0,8.526501415188733,12.066501415188748,"22,4",type_1_prey_55,3.540000000000015,"22,5",3.540000000000015,False,type_1_predator_0
3,type_1_predator_1,4.199999999999999,7.1499999999999995,"3,19",type_1_prey_14,2.95,"4,19",2.95,False,type_1_predator_1
7,type_1_predator_1,6.349999999999999,9.299999999999999,"6,21",type_1_prey_23,2.95,"6,22",2.95,False,type_1_predator_1
9,type_1_predator_1,8.9,11.8,"6,23",type_1_prey_27,2.9000000000000004,"7,24",2.9000000000000004,False,type_1_predator_1
11,type_1_predator_1,11.400000000000002,16.800000000000004,"8,23",type_1_prey_0,5.400000000000002,"9,24",5.400000000000002,False,type_1_predator_1
19,type_1_predator_1,10.20000000000001,13.440000000000012,"4,24",type_1_prey_34,3.2400000000000015,"3,24",3.2400000000000015,False,type_1_predator_1
25,type_1_predator_1,7.240000000000012,10.190000000000012,"10,18",type_1_prey_46,2.95,"10,18",2.95,False,type_1_predator_1
33,type_1_predator_1,8.590000000000018,11.540000000000017,"17,19",type_1_prey_49,2.95,"17,20",2.95,False,type_1_predator_1
38,type_1_predator_1,10.54000000000002,13.340000000000021,"17,19",type_1_prey_50,2.8000000000000007,"16,20",2.8000000000000007,False,type_1_predator_1
42,type_1_predator_1,7.540000000000021,10.430000000000023,"17,23",type_1_prey_51,2.8900000000000015,"18,24",2.8900000000000015,False,type_1_predator_1
48,type_1_predator_1,9.230000000000027,12.690000000000028,"17,22",type_1_prey_56,3.4600000000000004,"18,21",3.4600000000000004,False,type_1_predator_1
53,type_1_predator_1,6.690000000000026,12.480000000000029,"16,19",type_1_prey_52,5.790000000000003,"15,18",5.790000000000003,False,type_1_predator_1
61,type_1_predator_1,5.880000000000028,8.068422046819162,"22,17",type_1_prey_54,4.190000000000005,"23,18",2.1884220468191335,True,type_1_predator_1|type_1_predator_2
2,type_1_predator_2,4.3999999999999995,8.25,"23,16",type_1_prey_4,3.8500000000000005,"22,16",3.8500000000000005,False,type_1_predator_2
4,type_1_predator_2,7.850000000000001,9.737974683544305,"21,17",type_1_prey_11,2.8500000000000005,"20,18",1.887974683544304,True,type_1_predator_2|type_1_predator_3
24,type_1_predator_2,5.737974683544308,10.807974683544312,"22,17",type_1_prey_6,5.070000000000005,"23,16",5.070000000000005,False,type_1_predator_2
29,type_1_predator_2,9.807974683544316,14.08797468354432,"23,15",type_1_prey_31,4.280000000000004,"22,14",4.280000000000004,False,type_1_predator_2
37,type_1_predator_2,7.487974683544325,11.187974683544326,"19,23",type_1_prey_48,3.700000000000001,"18,24",3.700000000000001,False,type_1_predator_2
41,type_1_predator_2,10.387974683544329,14.377974683544334,"23,21",type_1_prey_35,3.9900000000000055,"24,20",3.9900000000000055,False,type_1_predator_2
61,type_1_predator_2,5.377974683544336,7.379552636725207,"23,18",type_1_prey_54,4.190000000000005,"23,18",2.0015779531808713,True,type_1_predator_1|type_1_predator_2
80,type_1_predator_2,3.5795526367252037,6.989552636725206,"22,18",type_1_prey_65,3.410000000000002,"21,18",3.410000000000002,False,type_1_predator_2
87,type_1_predator_2,5.589552636725204,8.539552636725205,"21,19",type_1_prey_80,2.95,"21,18",2.95,False,type_1_predator_2
98,type_1_predator_2,6.339552636725204,9.279552636725205,"20,23",type_1_prey_98,2.9400000000000004,"20,24",2.9400000000000004,False,type_1_predator_2
100,type_1_predator_2,8.879552636725206,11.839552636725214,"22,23",type_1_prey_62,2.960000000000008,"23,24",2.960000000000008,False,type_1_predator_2
113,type_1_predator_2,9.239552636725223,12.839552636725227,"18,23",type_1_prey_88,3.6000000000000028,"17,22",3.6000000000000028,False,type_1_predator_2
120,type_1_predator_2,6.4395526367252245,9.91955263672523,"23,18",type_1_prey_92,3.4800000000000053,"24,18",3.4800000000000053,False,type_1_predator_2
129,type_1_predator_2,8.119552636725237,11.709552636725238,"16,23",type_1_prey_111,3.5900000000000016,"17,24",3.5900000000000016,False,type_1_predator_2
130,type_1_predator_2,11.509552636725239,14.35955263672524,"15,24",type_1_prey_113,2.8500000000000005,"14,24",2.8500000000000005,False,type_1_predator_2
137,type_1_predator_2,7.959552636725244,12.75955263672525,"19,23",type_1_prey_102,4.800000000000006,"20,24",4.800000000000006,False,type_1_predator_2
158,type_1_predator_2,3.559552636725246,6.22955263672525,"15,20",type_1_prey_114,2.6700000000000044,"16,20",2.6700000000000044,False,type_1_predator_2
168,type_1_predator_2,4.229552636725249,8.07955263672525,"7,21",type_1_prey_142,3.8500000000000005,"6,21",3.8500000000000005,False,type_1_predator_2
4,type_1_predator_3,3.999999999999999,4.962025316455695,"20,19",type_1_prey_11,2.8500000000000005,"20,18",0.9620253164556962,True,type_1_predator_2|type_1_predator_3
2,type_1_predator_7,4.3999999999999995,8.25,"9,12",type_1_prey_7,3.8500000000000005,"10,11",3.8500000000000005,False,type_1_predator_7
3,type_1_predator_7,8.05,12.950000000000001,"9,11",type_1_prey_12,4.9,"10,10",4.9,False,type_1_predator_7
9,type_1_predator_7,6.75,11.64,"7,10",type_1_prey_24,4.890000000000001,"6,10",4.890000000000001,False,type_1_predator_7
19,type_1_predator_7,9.640000000000008,12.720000000000011,"5,9",type_1_prey_1,3.0800000000000036,"5,8",3.0800000000000036,False,type_1_predator_7
26,type_1_predator_7,6.32000000000001,8.970000000000011,"6,2",type_1_prey_44,2.6500000000000012,"6,1",2.6500000000000012,False,type_1_predator_7
27,type_1_predator_7,8.770000000000012,11.620000000000013,"7,1",type_1_prey_42,2.850000000000002,"8,0",2.850000000000002,False,type_1_predator_7
29,type_1_predator_7,11.220000000000015,14.120000000000019,"9,0",type_1_prey_30,2.900000000000004,"10,0",2.900000000000004,False,type_1_predator_7
33,type_1_predator_7,8.320000000000022,13.890000000000027,"8,4",type_1_prey_33,5.570000000000006,"8,5",5.570000000000006,False,type_1_predator_7
35,type_1_predator_7,8.490000000000029,10.440000000000031,"8,4",type_1_prey_40,1.9500000000000035,"7,5",1.9500000000000035,False,type_1_predator_7
1,type_1_predator_8,4.6,7.5,"18,22",type_1_prey_8,2.9000000000000004,"17,21",2.9000000000000004,False,type_1_predator_8
