Cycle,Predator Population,Prey Population
1,6,8
2,6,10
3,6,10
4,6,12
5,6,11
6,6,12
7,6,13
8,6,14
9,6,14
10,6,16
11,6,15
12,7,13
13,7,13
14,7,12
15,7,12
16,7,12
17,7,12
18,7,14
19,7,13
20,7,13
21,7,13
22,7,13
23,7,14
24,7,14
25,7,16
26,7,16
27,7,16
28,7,16
29,7,16
30,7,15
31,8,15
32,8,15
33,8,16
34,8,16
35,7,17
36,7,18
37,8,17
38,8,16
39,9,16
40,9,16
41,10,15
42,11,15
43,11,14
44,11,14
45,12,13
46,12,13
47,12,13
48,12,14
49,12,14
50,12,13
51,14,11
52,14,11
53,14,12
54,14,12
55,14,12
56,14,12
57,14,12
58,14,12
59,14,13
60,15,12
61,15,11
62,15,9
63,15,8
64,15,8
65,15,8
66,15,8
67,15,8
68,15,8
69,15,8
70,15,9
71,15,9
72,15,10
73,15,11
74,14,12
75,14,11
76,14,12
77,15,10
78,15,8
79,15,10
80,14,9
81,14,11
82,14,10
83,14,10
84,14,9
85,14,9
86,13,8
87,13,8
88,13,7
89,13,7
90,13,7
91,13,7
92,13,7
93,14,6
94,14,6
95,13,6
96,13,6
97,13,6
98,12,5
99,12,5
100,12,6
101,12,5
102,12,5
103,12,5
104,12,5
105,12,5
106,12,5
107,12,5
108,12,6
109,12,6
110,12,6
111,12,7
112,11,7
113,11,7
114,11,7
115,11,8
116,11,8
117,11,9
118,11,8
119,11,9
120,11,10
121,12,9
122,13,8
123,13,9
124,13,9
125,13,9
126,13,9
127,13,8
128,12,9
129,12,9
130,12,10
131,12,10
132,12,8
133,12,8
134,10,8
135,10,8
136,10,7
137,10,7
138,10,8
139,9,8
140,9,8
141,10,7
142,10,8
143,10,8
144,10,8
145,10,9
146,10,8
147,10,9
148,10,9
149,10,10
150,10,10
151,11,9
152,11,9
153,11,9
154,11,10
155,11,10
156,11,10
157,11,10
158,11,10
159,11,9
160,12,10
161,12,10
162,12,10
163,12,11
164,12,11
165,12,10
166,12,11
167,11,11
168,11,11
169,11,11
170,11,10
171,11,10
172,11,9
173,12,8
174,12,7
175,11,7
176,11,7
177,11,7
178,11,7
179,11,7
180,11,7
181,11,7
182,11,7
183,11,7
184,11,7
185,11,7
186,10,7
187,10,7
188,10,8
189,10,8
190,10,9
191,9,9
192,9,10
193,9,10
194,9,10
195,8,9
196,8,9
197,7,10
198,7,11
199,7,12
200,7,11
201,7,11
202,7,11
203,7,10
204,8,10
205,8,11
206,8,11
207,8,12
208,8,13
209,8,14
210,8,15
211,8,15
212,8,15
213,8,16
214,8,15
215,8,13
216,8,12
217,9,11
218,10,10
219,10,11
220,10,11
221,10,10
222,10,10
223,10,10
224,10,9
225,10,9
226,11,8
227,11,8
228,11,9
229,11,8
230,12,7
231,12,8
232,13,7
233,13,7
234,13,6
235,13,8
236,13,8
237,13,7
238,12,8
239,12,7
240,12,7
241,12,8
242,12,8
243,12,8
244,12,8
245,13,6
246,12,6
247,12,6
248,12,6
249,12,6
250,12,6
251,12,6
252,13,5
253,12,5
254,12,5
255,12,5
256,12,5
257,12,5
258,12,6
259,12,7
260,12,7
261,12,7
262,12,6
263,12,6
264,12,6
265,11,6
266,11,5
267,10,5
268,10,5
269,10,5
270,10,5
271,10,5
272,10,5
273,10,6
274,10,5
275,10,5
276,10,5
277,10,5
278,10,5
279,10,5
280,10,5
281,10,5
282,10,5
283,10,5
284,10,5
285,10,5
286,10,5
287,8,5
288,7,6
289,7,6
290,7,6
291,7,7
292,7,7
293,7,6
294,7,6
295,6,5
296,6,5
297,6,7
298,6,8
299,6,8
300,6,9
301,5,8
302,5,8
303,5,8
304,5,8
305,4,10
306,4,10
307,4,11
308,4,11
309,4,11
310,4,11
311,4,11
312,4,12
313,5,11
314,5,11
315,5,12
316,6,10
317,6,10
318,6,12
319,7,11
320,7,13
321,7,13
322,7,16
323,7,17
324,7,16
325,7,16
326,7,16
327,7,17
328,7,18
329,7,18
330,7,18
331,8,17
332,9,15
333,9,15
334,9,15
335,9,15
336,9,15
337,9,14
338,9,16
339,9,17
340,9,17
341,9,19
342,9,17
343,9,17
344,9,19
345,9,19
346,9,19
347,9,19
348,9,18
349,9,18
350,10,17
351,10,16
352,10,16
353,10,15
354,11,16
355,12,16
356,12,16
357,12,16
358,12,16
359,12,17
360,13,16
361,13,17
362,13,16
363,13,17
364,13,16
365,13,17
366,13,16
367,13,16
368,13,17
369,13,18
370,13,19
371,14,18
372,14,18
373,15,17
374,16,16
375,16,13
376,16,13
377,16,14
378,16,13
379,16,13
380,16,12
381,16,12
382,17,11
383,17,10
384,17,10
385,17,10
386,18,9
387,18,10
388,18,11
389,17,11
390,17,11
391,17,10
392,17,10
393,18,10
394,18,10
395,17,10
396,17,10
397,17,10
398,17,11
399,17,10
400,17,11
401,17,10
402,17,10
403,18,8
404,18,8
405,18,8
406,17,8
407,17,7
408,16,7
409,18,4
410,18,3
411,18,3
412,18,3
413,18,3
414,18,3
415,18,4
416,18,4
417,16,4
418,17,2
419,17,2
420,16,2
421,15,1
422,15,1
423,15,1
424,15,1
425,15,1
426,15,1
427,15,1
428,14,1
429,14,1
430,14,1
431,14,1
432,14,1
433,14,1
434,14,1
435,14,1
436,13,1
437,13,1
438,11,1
439,11,1
440,10,1
441,10,1
442,10,1
443,10,1
444,8,1
445,8,1
446,8,1
447,8,1
448,7,1
449,7,1
450,7,1
451,7,1
452,6,1
453,5,1
454,5,1
455,5,1
456,5,1
457,5,0
458,6,8
