Cycle,Predator Population,Prey Population
1,6,8
2,6,10
3,6,12
4,6,13
5,6,12
6,6,16
7,6,16
8,6,17
9,6,17
10,6,18
11,6,17
12,6,17
13,6,16
14,6,16
15,6,16
16,6,16
17,6,15
18,6,16
19,6,16
20,6,16
21,6,15
22,6,14
23,6,14
24,6,16
25,6,16
26,6,17
27,6,18
28,6,20
29,6,20
30,7,18
31,7,18
32,7,18
33,7,18
34,7,17
35,7,18
36,7,20
37,7,20
38,8,19
39,8,19
40,8,19
41,8,18
42,8,19
43,8,19
44,8,20
45,9,21
46,9,22
47,10,21
48,10,21
49,10,22
50,10,21
51,10,22
52,11,21
53,11,21
54,13,19
55,14,19
56,14,18
57,14,18
58,14,19
59,14,19
60,14,17
61,15,17
62,15,16
63,15,16
64,15,17
65,14,16
66,14,16
67,13,17
68,14,16
69,14,16
70,16,13
71,17,13
72,17,12
73,17,14
74,18,13
75,18,12
76,18,11
77,18,11
78,18,11
79,18,10
80,18,11
81,18,11
82,18,11
83,18,12
84,18,12
85,18,12
86,18,12
87,18,10
88,18,10
89,17,13
90,17,14
91,17,13
92,17,14
93,17,10
94,17,11
95,17,10
96,16,10
97,16,10
98,17,9
99,16,9
100,16,8
101,16,8
102,16,8
103,16,8
104,16,8
105,16,8
106,16,8
107,16,9
108,16,8
109,15,8
110,15,8
111,15,7
112,15,7
113,15,7
114,16,6
115,16,6
116,16,6
117,16,6
118,16,6
119,16,6
120,16,7
121,16,7
122,16,8
123,16,8
124,16,8
125,16,7
126,16,8
127,16,8
128,16,9
129,16,8
130,16,8
131,15,7
132,15,6
133,14,6
134,14,6
135,14,6
136,11,6
137,11,6
138,11,6
139,11,6
140,11,6
141,11,6
142,11,6
143,11,6
144,11,6
145,11,6
146,11,6
147,11,5
148,11,5
149,10,5
150,10,6
151,10,6
152,10,6
153,10,5
154,10,5
155,9,5
156,9,5
157,9,5
158,9,5
159,9,5
160,9,5
161,7,5
162,7,5
163,7,5
164,7,6
165,5,6
166,5,7
167,5,7
168,5,7
169,5,7
