Step,Speed_1_Predator,Speed_2_Predator,Speed_1_Prey,Speed_2_Prey,Predator_Prop_Speed2,Prey_Prop_Speed2Avg_Age_S1_Predator,Avg_Age_S2_Predator,Avg_Age_S1_Prey,Avg_Age_S2_Prey
0,10,0,14,0,0.0,0.0,1.0,0,1.0,0
1,10,0,13,0,0.0,0.0,2.0,0,2.0,0
2,10,0,13,0,0.0,0.0,3.0,0,3.0,0
3,10,0,16,0,0.0,0.0,4.0,0,3.25,0
4,10,0,20,0,0.0,0.0,5.0,0,3.4,0
5,10,0,25,0,0.0,0.0,6.0,0,3.52,0
6,10,0,25,0,0.0,0.0,7.0,0,4.24,0
7,10,0,26,0,0.0,0.0,8.0,0,5.038461538461538,0
8,10,0,27,0,0.0,0.0,9.0,0,5.703703703703703,0
9,10,0,28,0,0.0,0.0,10.0,0,6.464285714285714,0
10,10,0,32,0,0.0,0.0,11.0,0,6.53125,0
11,10,0,32,0,0.0,0.0,12.0,0,7.53125,0
12,10,0,32,0,0.0,0.0,13.0,0,8.125,0
13,10,0,34,0,0.0,0.0,14.0,0,8.588235294117647,0
14,10,0,34,0,0.0,0.0,15.0,0,9.588235294117647,0
15,10,0,34,0,0.0,0.0,16.0,0,10.588235294117647,0
16,10,0,34,0,0.0,0.0,17.0,0,11.588235294117647,0
17,11,0,34,0,0.0,0.0,16.363636363636363,0,12.0,0
18,11,0,35,0,0.0,0.0,17.363636363636363,0,12.628571428571428,0
19,11,0,35,0,0.0,0.0,18.363636363636363,0,13.628571428571428,0
20,11,0,37,0,0.0,0.0,19.363636363636363,0,13.837837837837839,0
21,12,0,36,0,0.0,0.0,18.666666666666668,0,14.63888888888889,0
22,12,0,36,0,0.0,0.0,19.666666666666668,0,15.63888888888889,0
23,12,0,36,0,0.0,0.0,20.666666666666668,0,16.63888888888889,0
24,12,0,36,0,0.0,0.0,21.666666666666668,0,17.194444444444443,0
25,12,0,37,0,0.0,0.0,22.666666666666668,0,17.7027027027027,0
26,12,0,38,0,0.0,0.0,23.666666666666668,0,18.210526315789473,0
27,12,0,38,0,0.0,0.0,24.666666666666668,0,19.210526315789473,0
28,12,0,38,0,0.0,0.0,25.666666666666668,0,20.210526315789473,0
29,12,0,38,0,0.0,0.0,26.666666666666668,0,21.210526315789473,0
30,12,0,39,0,0.0,0.0,27.666666666666668,0,21.641025641025642,0
31,12,0,40,0,0.0,0.0,28.666666666666668,0,22.075,0
32,12,0,40,0,0.0,0.0,29.666666666666668,0,23.075,0
33,7,0,40,0,0.0,0.0,28.285714285714285,0,24.075,0
34,7,0,40,0,0.0,0.0,29.285714285714285,0,25.075,0
